lang,emotion,layer,ovr_acc
ru,anger,3,0.7094594836235046
ru,anger,4,0.7297297716140747
ru,anger,5,0.7094594836235046
ru,anger,6,0.7229729890823364
ru,anger,7,0.6959459781646729
ru,anger,8,0.7094594836235046
ru,anger,9,0.7263513803482056
ru,anger,10,0.7364864945411682
ru,anger,11,0.7364864945411682
ru,anger,12,0.7162162065505981
ru,disgust,0,0.7027027010917664
ru,disgust,1,0.7229729890823364
ru,disgust,2,0.7128378748893738
ru,disgust,3,0.7162162065505981
ru,disgust,4,0.7364864945411682
ru,disgust,5,0.7229729890823364
ru,disgust,6,0.7263513803482056
ru,disgust,7,0.7297297716140747
ru,disgust,8,0.6722972989082336
ru,disgust,9,0.6824324727058411
ru,disgust,10,0.7297297716140747
ru,disgust,11,0.7398648858070374
ru,disgust,12,0.7060810923576355
ru,fear,0,0.6756756901741028
ru,fear,1,0.7094594836235046
ru,fear,2,0.7466216683387756
ru,fear,3,0.7466216683387756
ru,fear,4,0.7601351737976074
ru,fear,5,0.75
ru,fear,6,0.7297297716140747
ru,fear,7,0.7398648858070374
ru,fear,8,0.7398648858070374
ru,fear,9,0.7432432770729065
ru,fear,10,0.7432432770729065
ru,fear,11,0.7635135054588318
ru,fear,12,0.7297297716140747
ru,joy,0,0.7939189672470093
ru,joy,1,0.7601351737976074
ru,joy,2,0.787162184715271
ru,joy,3,0.7668918967247009
ru,joy,4,0.7770270705223083
ru,joy,5,0.7668918967247009
ru,joy,6,0.7533783912658691
ru,joy,7,0.7533783912658691
ru,joy,8,0.7702702879905701
ru,joy,9,0.7804054021835327
ru,joy,10,0.7905405759811401
ru,joy,11,0.7635135054588318
ru,joy,12,0.7364864945411682
ru,sadness,0,0.6790540814399719
ru,sadness,1,0.6824324727058411
ru,sadness,2,0.7060810923576355
ru,sadness,3,0.6925675868988037
ru,sadness,4,0.7094594836235046
ru,sadness,5,0.7128378748893738
ru,sadness,6,0.7027027010917664
ru,sadness,7,0.6891891956329346
ru,sadness,8,0.6925675868988037
ru,sadness,9,0.6824324727058411
ru,sadness,10,0.6587837934494019
ru,sadness,11,0.6858108043670654
ru,sadness,12,0.6858108043670654
ru,surprise,0,0.6722972989082336
ru,surprise,1,0.7229729890823364
ru,surprise,2,0.699324369430542
ru,surprise,3,0.7060810923576355
ru,surprise,4,0.7094594836235046
ru,surprise,5,0.7027027010917664
ru,surprise,6,0.7195945978164673
ru,surprise,7,0.7060810923576355
ru,surprise,8,0.6891891956329346
ru,surprise,9,0.7364864945411682
ru,surprise,10,0.7263513803482056
ru,surprise,11,0.7533783912658691
ru,surprise,12,0.7364864945411682
ky,anger,0,0.7466216683387756
ky,anger,1,0.6925675868988037
ky,anger,2,0.7229729890823364
ky,anger,3,0.7398648858070374
ky,anger,4,0.7331081032752991
ky,anger,5,0.7195945978164673
ky,anger,6,0.7128378748893738
ky,anger,7,0.7195945978164673
ky,anger,8,0.7060810923576355
ky,anger,9,0.6824324727058411
ky,anger,10,0.7162162065505981
ky,anger,11,0.7060810923576355
ky,anger,12,0.6858108043670654
ky,disgust,0,0.7195945978164673
ky,disgust,1,0.6925675868988037
ky,disgust,2,0.7432432770729065
ky,disgust,3,0.7466216683387756
ky,disgust,4,0.75
ky,disgust,5,0.699324369430542
ky,disgust,6,0.699324369430542
ky,disgust,7,0.7297297716140747
ky,disgust,8,0.7263513803482056
ky,disgust,9,0.7432432770729065
ky,disgust,10,0.7331081032752991
ky,disgust,11,0.6925675868988037
ky,disgust,12,0.7094594836235046
ky,fear,0,0.7736486792564392
ky,fear,1,0.7837837934494019
ky,fear,2,0.7567567825317383
ky,fear,3,0.7263513803482056
ky,fear,4,0.7567567825317383
ky,fear,5,0.7533783912658691
ky,fear,6,0.8040540814399719
ky,fear,7,0.7432432770729065
ky,fear,8,0.7432432770729065
ky,fear,9,0.7263513803482056
ky,fear,10,0.7466216683387756
ky,fear,11,0.7432432770729065
ky,fear,12,0.7364864945411682
ky,joy,0,0.7668918967247009
ky,joy,1,0.7905405759811401
ky,joy,2,0.787162184715271
ky,joy,3,0.7837837934494019
ky,joy,4,0.7837837934494019
ky,joy,5,0.7837837934494019
ky,joy,6,0.7736486792564392
ky,joy,7,0.787162184715271
ky,joy,8,0.7567567825317383
ky,joy,9,0.7702702879905701
ky,joy,10,0.7702702879905701
ky,joy,11,0.75
ky,joy,12,0.7770270705223083
ky,sadness,0,0.7162162065505981
ky,sadness,1,0.7364864945411682
ky,sadness,2,0.7432432770729065
ky,sadness,3,0.7466216683387756
ky,sadness,4,0.7398648858070374
ky,sadness,5,0.7229729890823364
ky,sadness,6,0.7027027010917664
ky,sadness,7,0.6858108043670654
ky,sadness,8,0.7094594836235046
ky,sadness,9,0.6959459781646729
ky,sadness,10,0.6925675868988037
ky,sadness,11,0.6858108043670654
ky,sadness,12,0.6722972989082336
ky,surprise,0,0.7601351737976074
ky,surprise,1,0.75
ky,surprise,2,0.7432432770729065
ky,surprise,3,0.7398648858070374
ky,surprise,4,0.7398648858070374
ky,surprise,5,0.699324369430542
ky,surprise,6,0.7229729890823364
ky,surprise,7,0.7128378748893738
ky,surprise,8,0.7263513803482056
ky,surprise,9,0.7027027010917664
ky,surprise,10,0.6925675868988037
ky,surprise,11,0.6756756901741028
ky,surprise,12,0.6891891956329346
