model,lang,pair,rate
XLM-R,EN,disgust-surprise,0.074
XLM-R,EN,fear-joy,0.038
XLM-R,EN,fear-sadness,0.08
XLM-R,EN,fear-surprise,0.07
XLM-R,EN,joy-sadness,0.058
XLM-R,EN,joy-surprise,0.104
XLM-R,EN,sadness-surprise,0.11
XLM-R,RU,anger-disgust,0.1812
XLM-R,RU,anger-fear,0.075
XLM-R,RU,anger-joy,0.0729
XLM-R,RU,anger-sadness,0.1417
XLM-R,RU,anger-surprise,0.1333
XLM-R,RU,disgust-fear,0.16
XLM-R,RU,disgust-joy,0.044
XLM-R,RU,disgust-sadness,0.1
XLM-R,RU,disgust-surprise,0.1
XLM-R,RU,fear-joy,0.054
XLM-R,RU,fear-sadness,0.116
XLM-R,RU,fear-surprise,0.074
XLM-R,RU,joy-sadness,0.074
XLM-R,RU,joy-surprise,0.126
XLM-R,RU,sadness-surprise,0.106
XLM-R,KY,anger-disgust,0.1708
XLM-R,KY,anger-fear,0.0938
XLM-R,KY,anger-joy,0.0604
XLM-R,KY,anger-sadness,0.1375
XLM-R,KY,anger-surprise,0.1583
XLM-R,KY,disgust-fear,0.168
XLM-R,KY,disgust-joy,0.076
XLM-R,KY,disgust-sadness,0.124
XLM-R,KY,disgust-surprise,0.09
XLM-R,KY,fear-joy,0.044
XLM-R,KY,fear-sadness,0.098
XLM-R,KY,fear-surprise,0.076
XLM-R,KY,joy-sadness,0.084
XLM-R,KY,joy-surprise,0.128
XLM-R,KY,sadness-surprise,0.118
