model,layer,pair,procrustes_sim
Qwen3-8B,28,EN–RU,0.8556
Qwen3-8B,28,EN–KY,0.8523
Qwen3-8B,28,RU–KY,0.8548
Qwen3-8B,29,EN–RU,0.8544
Qwen3-8B,29,EN–KY,0.8493
Qwen3-8B,29,RU–KY,0.8514
Qwen3-8B,30,EN–RU,0.8523
Qwen3-8B,30,EN–KY,0.8449
Qwen3-8B,30,RU–KY,0.8465
Qwen3-8B,31,EN–RU,0.8492
Qwen3-8B,31,EN–KY,0.8375
Qwen3-8B,31,RU–KY,0.8386
Qwen3-8B,32,EN–RU,0.8455
Qwen3-8B,32,EN–KY,0.8277
Qwen3-8B,32,RU–KY,0.8279
Qwen3-8B,33,EN–RU,0.8421
Qwen3-8B,33,EN–KY,0.815
Qwen3-8B,33,RU–KY,0.8166
Qwen3-8B,34,EN–RU,0.8376
Qwen3-8B,34,EN–KY,0.8054
Qwen3-8B,34,RU–KY,0.8088
Qwen3-8B,35,EN–RU,0.8144
Qwen3-8B,35,EN–KY,0.7616
Qwen3-8B,35,RU–KY,0.7693
Qwen3-8B,36,EN–RU,0.7297
Qwen3-8B,36,EN–KY,0.6177
Qwen3-8B,36,RU–KY,0.6665
Mistral-7B,0,EN–RU,0.8036
Mistral-7B,0,EN–KY,0.684
Mistral-7B,0,RU–KY,0.6564
Mistral-7B,1,EN–RU,0.8843
Mistral-7B,1,EN–KY,0.8491
Mistral-7B,1,RU–KY,0.8648
Mistral-7B,2,EN–RU,0.8898
Mistral-7B,2,EN–KY,0.8599
Mistral-7B,2,RU–KY,0.8792
Mistral-7B,3,EN–RU,0.8897
Mistral-7B,3,EN–KY,0.8598
Mistral-7B,3,RU–KY,0.8792
Mistral-7B,4,EN–RU,0.8897
Mistral-7B,4,EN–KY,0.8598
Mistral-7B,4,RU–KY,0.8792
Mistral-7B,5,EN–RU,0.8896
Mistral-7B,5,EN–KY,0.8598
Mistral-7B,5,RU–KY,0.8792
Mistral-7B,6,EN–RU,0.8896
Mistral-7B,6,EN–KY,0.8597
Mistral-7B,6,RU–KY,0.879
Mistral-7B,7,EN–RU,0.8898
Mistral-7B,7,EN–KY,0.8601
Mistral-7B,7,RU–KY,0.8792
Mistral-7B,8,EN–RU,0.8898
Mistral-7B,8,EN–KY,0.8598
Mistral-7B,8,RU–KY,0.8787
Mistral-7B,9,EN–RU,0.8898
Mistral-7B,9,EN–KY,0.8594
Mistral-7B,9,RU–KY,0.878
Mistral-7B,10,EN–RU,0.8897
Mistral-7B,10,EN–KY,0.8584
Mistral-7B,10,RU–KY,0.8769
Mistral-7B,11,EN–RU,0.8893
