model,layer,pair,rsa_rho
Mistral-7B,0,RU–KY,0.7255
Mistral-7B,1,EN–RU,0.8096
Mistral-7B,1,EN–KY,0.6872
Mistral-7B,1,RU–KY,0.7905
Mistral-7B,2,EN–RU,0.8498
Mistral-7B,2,EN–KY,0.7865
Mistral-7B,2,RU–KY,0.8419
Mistral-7B,3,EN–RU,0.8506
Mistral-7B,3,EN–KY,0.7649
Mistral-7B,3,RU–KY,0.8237
Mistral-7B,4,EN–RU,0.85
Mistral-7B,4,EN–KY,0.7539
Mistral-7B,4,RU–KY,0.8274
Mistral-7B,5,EN–RU,0.8469
Mistral-7B,5,EN–KY,0.72
Mistral-7B,5,RU–KY,0.8175
Mistral-7B,6,EN–RU,0.8459
Mistral-7B,6,EN–KY,0.6759
Mistral-7B,6,RU–KY,0.7895
Mistral-7B,7,EN–RU,0.8445
Mistral-7B,7,EN–KY,0.6339
Mistral-7B,7,RU–KY,0.7647
Mistral-7B,8,EN–RU,0.8485
Mistral-7B,8,EN–KY,0.6297
Mistral-7B,8,RU–KY,0.7566
Mistral-7B,9,EN–RU,0.8457
Mistral-7B,9,EN–KY,0.6221
Mistral-7B,9,RU–KY,0.7548
Mistral-7B,10,EN–RU,0.8462
Mistral-7B,10,EN–KY,0.6046
Mistral-7B,10,RU–KY,0.7385
Mistral-7B,11,EN–RU,0.8468
Mistral-7B,11,EN–KY,0.6052
Mistral-7B,11,RU–KY,0.7373
Mistral-7B,12,EN–RU,0.8473
Mistral-7B,12,EN–KY,0.5991
Mistral-7B,12,RU–KY,0.7299
Mistral-7B,13,EN–RU,0.8483
Mistral-7B,13,EN–KY,0.5883
Mistral-7B,13,RU–KY,0.7199
Mistral-7B,14,EN–RU,0.8506
Mistral-7B,14,EN–KY,0.5719
Mistral-7B,14,RU–KY,0.7035
Mistral-7B,15,EN–RU,0.8493
Mistral-7B,15,EN–KY,0.5576
Mistral-7B,15,RU–KY,0.701
Mistral-7B,16,EN–RU,0.8498
Mistral-7B,16,EN–KY,0.5216
Mistral-7B,16,RU–KY,0.6749
Mistral-7B,17,EN–RU,0.847
Mistral-7B,17,EN–KY,0.4806
Mistral-7B,17,RU–KY,0.6481
Mistral-7B,18,EN–RU,0.8336
Mistral-7B,18,EN–KY,0.4519
Mistral-7B,18,RU–KY,0.6306
Mistral-7B,19,EN–RU,0.8146
Mistral-7B,19,EN–KY,0.4473
Mistral-7B,19,RU–KY,0.6566
Mistral-7B,20,EN–RU,0.8071
Mistral-7B,20,EN–KY,0.3752
Mistral-7B,20,RU–KY,0.5868
Mistral-7B,21,EN–RU,0.7955
Mistral-7B,21,EN–KY,0.3188
Mistral-7B,21,RU–KY,0.5504
Mistral-7B,22,EN–RU,0.7846
Mistral-7B,22,EN–KY,0.3055
Mistral-7B,22,RU–KY,0.5322
Mistral-7B,23,EN–RU,0.7755
Mistral-7B,23,EN–KY,0.3095
Mistral-7B,23,RU–KY,0.5359
Mistral-7B,24,EN–RU,0.7409
Mistral-7B,24,EN–KY,0.277
Mistral-7B,24,RU–KY,0.5337
Mistral-7B,25,EN–RU,0.7288
Mistral-7B,25,EN–KY,0.27
Mistral-7B,25,RU–KY,0.5216
Mistral-7B,26,EN–RU,0.7187
Mistral-7B,26,EN–KY,0.2756
Mistral-7B,26,RU–KY,0.5208
Mistral-7B,27,EN–RU,0.6827
Mistral-7B,27,EN–KY,0.2752
Mistral-7B,27,RU–KY,0.5357
Mistral-7B,28,EN–RU,0.6802
Mistral-7B,28,EN–KY,0.2924
Mistral-7B,28,RU–KY,0.5326
Mistral-7B,29,EN–RU,0.6719
Mistral-7B,29,EN–KY,0.3041
Mistral-7B,29,RU–KY,0.5393
Mistral-7B,30,EN–RU,0.7028
Mistral-7B,30,EN–KY,0.4095
Mistral-7B,30,RU–KY,0.5697
Mistral-7B,31,EN–RU,0.7129
Mistral-7B,31,EN–KY,0.4861
Mistral-7B,31,RU–KY,0.599
Mistral-7B,32,EN–RU,0.5031
Mistral-7B,32,EN–KY,0.412
Mistral-7B,32,RU–KY,0.5953
Llama-3.1-8B,0,EN–RU,0.7739
Llama-3.1-8B,0,EN–KY,0.6839
Llama-3.1-8B,0,RU–KY,0.6458
Llama-3.1-8B,1,EN–RU,0.7816
Llama-3.1-8B,1,EN–KY,0.4657
Llama-3.1-8B,1,RU–KY,0.6016
Llama-3.1-8B,2,EN–RU,0.8592
Llama-3.1-8B,2,EN–KY,0.7246
Llama-3.1-8B,2,RU–KY,0.7204
Llama-3.1-8B,3,EN–RU,0.8566
Llama-3.1-8B,3,EN–KY,0.7252
Llama-3.1-8B,3,RU–KY,0.7419
Llama-3.1-8B,4,EN–RU,0.8589
Llama-3.1-8B,4,EN–KY,0.6898
Llama-3.1-8B,4,RU–KY,0.7325
Llama-3.1-8B,5,EN–RU,0.8689
Llama-3.1-8B,5,EN–KY,0.6962
Llama-3.1-8B,5,RU–KY,0.7276
Llama-3.1-8B,6,EN–RU,0.8649
Llama-3.1-8B,6,EN–KY,0.6815
Llama-3.1-8B,6,RU–KY,0.7164
Llama-3.1-8B,7,EN–RU,0.8675
Llama-3.1-8B,7,EN–KY,0.6791
Llama-3.1-8B,7,RU–KY,0.7184
Llama-3.1-8B,8,EN–RU,0.872
Llama-3.1-8B,8,EN–KY,0.698
Llama-3.1-8B,8,RU–KY,0.7331
Llama-3.1-8B,9,EN–RU,0.8719
Llama-3.1-8B,9,EN–KY,0.712
Llama-3.1-8B,9,RU–KY,0.7424
Llama-3.1-8B,10,EN–RU,0.8752
Llama-3.1-8B,10,EN–KY,0.7246
Llama-3.1-8B,10,RU–KY,0.7502
Llama-3.1-8B,11,EN–RU,0.875
Llama-3.1-8B,11,EN–KY,0.7054
Llama-3.1-8B,11,RU–KY,0.7344
Llama-3.1-8B,12,EN–RU,0.8767
Llama-3.1-8B,12,EN–KY,0.7091
Llama-3.1-8B,12,RU–KY,0.7368
Llama-3.1-8B,13,EN–RU,0.8774
Llama-3.1-8B,13,EN–KY,0.7302
Llama-3.1-8B,13,RU–KY,0.7453
Llama-3.1-8B,14,EN–RU,0.8779
Llama-3.1-8B,14,EN–KY,0.7054
Llama-3.1-8B,14,RU–KY,0.7359
Llama-3.1-8B,15,EN–RU,0.876
Llama-3.1-8B,15,EN–KY,0.6857
Llama-3.1-8B,15,RU–KY,0.7201
Llama-3.1-8B,16,EN–RU,0.8758
Llama-3.1-8B,16,EN–KY,0.6618
Llama-3.1-8B,16,RU–KY,0.7101
Llama-3.1-8B,17,EN–RU,0.8683
Llama-3.1-8B,17,EN–KY,0.6573
Llama-3.1-8B,17,RU–KY,0.7066
Llama-3.1-8B,18,EN–RU,0.8692
Llama-3.1-8B,18,EN–KY,0.6389
Llama-3.1-8B,18,RU–KY,0.6965
Llama-3.1-8B,19,EN–RU,0.866
Llama-3.1-8B,19,EN–KY,0.5606
Llama-3.1-8B,19,RU–KY,0.6352
Llama-3.1-8B,20,EN–RU,0.8638
Llama-3.1-8B,20,EN–KY,0.5679
Llama-3.1-8B,20,RU–KY,0.6338
Llama-3.1-8B,21,EN–RU,0.8555
Llama-3.1-8B,21,EN–KY,0.5084
Llama-3.1-8B,21,RU–KY,0.5969
Llama-3.1-8B,22,EN–RU,0.8591
Llama-3.1-8B,22,EN–KY,0.4851
Llama-3.1-8B,22,RU–KY,0.5721
Llama-3.1-8B,23,EN–RU,0.8458
Llama-3.1-8B,23,EN–KY,0.476
Llama-3.1-8B,23,RU–KY,0.5843
Llama-3.1-8B,24,EN–RU,0.8424
Llama-3.1-8B,24,EN–KY,0.5107
Llama-3.1-8B,24,RU–KY,0.6068
Llama-3.1-8B,25,EN–RU,0.8157
Llama-3.1-8B,25,EN–KY,0.4698
Llama-3.1-8B,25,RU–KY,0.5961
Llama-3.1-8B,26,EN–RU,0.8114
Llama-3.1-8B,26,EN–KY,0.4895
Llama-3.1-8B,26,RU–KY,0.601
Llama-3.1-8B,27,EN–RU,0.7957
Llama-3.1-8B,27,EN–KY,0.4859
Llama-3.1-8B,27,RU–KY,0.5989
Llama-3.1-8B,28,EN–RU,0.778
Llama-3.1-8B,28,EN–KY,0.4964
Llama-3.1-8B,28,RU–KY,0.6173
Llama-3.1-8B,29,EN–RU,0.78
Llama-3.1-8B,29,EN–KY,0.5134
Llama-3.1-8B,29,RU–KY,0.6204
Llama-3.1-8B,30,EN–RU,0.7742
Llama-3.1-8B,30,EN–KY,0.5022
Llama-3.1-8B,30,RU–KY,0.6077
Llama-3.1-8B,31,EN–RU,0.7312
Llama-3.1-8B,31,EN–KY,0.4298
Llama-3.1-8B,31,RU–KY,0.6095
Llama-3.1-8B,32,EN–RU,0.5562
Llama-3.1-8B,32,EN–KY,0.3581
Llama-3.1-8B,32,RU–KY,0.5559
