lang,layer,acc_mean,acc_std
ru,7,0.34797297716140746,0.012640734845320085
ru,8,0.34527028203010557,0.024862665447777797
ru,9,0.3385135233402252,0.014396809710145524
ru,10,0.32972973585128784,0.019536259139111077
ru,11,0.3344594657421112,0.021998411406296048
ru,12,0.34189189672470094,0.013913005411234091
ru,13,0.3398648738861084,0.017953148612077353
ru,14,0.3445945978164673,0.00880973458619726
ru,15,0.33175676465034487,0.015759323374422762
ru,16,0.32229729890823366,0.023072130274153384
ru,17,0.3033783853054047,0.022246048277071728
ru,18,0.27837838530540465,0.02656703559564325
ru,19,0.27972973585128785,0.02265277349298301
ru,20,0.24459459781646728,0.015496410642752862
ru,21,0.2581081122159958,0.014585835418666523
ru,22,0.24662162959575654,0.023600336763656585
ru,23,0.23986486792564393,0.02210193192004819
ru,24,0.23918919265270233,0.015613812348709085
ru,25,0.2317567616701126,0.02346453752580196
ru,26,0.2655405461788177,0.01976856745684809
ru,27,0.2628378391265869,0.013066940664973579
ru,28,0.24797297716140748,0.020337722189835303
ru,29,0.24864864647388457,0.012568291875469314
ru,30,0.25000000894069674,0.01384723414485324
ru,31,0.263513520359993,0.020382576935889518
ru,32,0.26351351141929624,0.006410024746336378
ru,33,0.2621621698141098,0.02807105229991095
ru,34,0.2709459513425827,0.03186439830418672
ru,35,0.24932432770729065,0.027891575148176657
ru,36,0.2763513565063477,0.01701307244695967
ru,37,0.27297297716140745,0.012348423710291954
ru,38,0.2695945978164673,0.024678355344926704
ru,39,0.26283784210681915,0.024678353631397525
ru,40,0.2750000059604645,0.012199635668312945
ru,41,0.26148649454116824,0.03435995145511567
ru,42,0.2824324369430542,0.01256828594739484
ky,0,0.21216216683387756,0.02053876081426023
ky,1,0.2898648679256439,0.012891063230569346
ky,2,0.2817567646503448,0.03258691293247913
ky,3,0.27972972989082334,0.018305695246604164
ky,4,0.30675676465034485,0.015466926184265796
ky,5,0.28378379344940186,0.00880973458619726
ky,6,0.29189189672470095,0.012568291394816794
ky,7,0.31216217279434205,0.010810807719827821
ky,8,0.29932432770729067,0.013945795226905623
ky,9,0.2689189225435257,0.01361448764134948
ky,10,0.3000000059604645,0.016742586860561876
ky,11,0.29594595432281495,0.0050563003101366435
ky,12,0.30337837934494016,0.02295309243807336
ky,13,0.29594595432281495,0.03286591219082845
ky,14,0.28175675868988037,0.02413590718885112
ky,15,0.2871621668338776,0.031036985607431365
ky,16,0.27094595730304716,0.015318632684968659
ky,17,0.2878378450870514,0.024022149520628196
ky,18,0.24864865839481354,0.015788274419507142
ky,19,0.24189189374446868,0.014585835280609423
ky,20,0.23986487090587616,0.016824187594608606
ky,21,0.2560810834169388,0.021515787810724128
ky,22,0.24054054915905,0.022143206162214855
ky,23,0.23918919563293456,0.019745459861624497
ky,24,0.23108108341693878,0.037168301293751066
ky,25,0.2479729801416397,0.030933849113727006
ky,26,0.2452702760696411,0.019883700294758076
ky,27,0.24594595432281494,0.024678353876187626
ky,28,0.24594594836235045,0.029637446879887928
ky,29,0.2317567616701126,0.02656703574723481
ky,30,0.2533783793449402,0.005233758159097247
ky,31,0.2527027040719986,0.031212994200327287
ky,32,0.24189189672470093,0.01037992825925567
ky,33,0.25135135352611543,0.01953625779915599
ky,34,0.25743243992328646,0.02948300528513042
ky,35,0.26013514399528503,0.01150634403108878
ky,36,0.25675676465034486,0.02125964319176758
ky,37,0.27500000298023225,0.021000361147818405
ky,38,0.2702702730894089,0.020157343567322076
ky,39,0.26554055213928224,0.020225180332387044
ky,40,0.2668918967247009,0.021894389478779176
ky,41,0.2736486494541168,0.012996888869496749
ky,42,0.2790540635585785,0.009930371692117166
