lang,layer,acc_mean,acc_std,fold_0,fold_1,fold_2,fold_3,fold_4
ru,35,0.5168919026851654,0.016131538524862682,0.537162184715271,0.5033783912658691,0.5270270109176636,0.4932432472705841,0.5236486792564392
ru,36,0.5263513684272766,0.015759342540884437,0.5337837934494019,0.5168918967247009,0.5405405759811401,0.5,0.5405405759811401
ky,0,0.35675676465034484,0.015643018409244796,0.3310810923576355,0.375,0.3479729890823364,0.3682432472705841,0.3614864945411682
ky,1,0.42094595432281495,0.0062659527799039435,0.42229729890823364,0.4256756901741028,0.41554054617881775,0.412162184715271,0.42905405163764954
ky,2,0.42297297716140747,0.011184423794113942,0.42905405163764954,0.4054054021835327,0.42229729890823364,0.4189189374446869,0.43918919563293457
ky,3,0.4222973048686981,0.019582940159340964,0.4256756901741028,0.3918918967247009,0.41554054617881775,0.4256756901741028,0.45270270109176636
ky,4,0.4229729831218719,0.03733986613212921,0.4695945978164673,0.36486488580703735,0.4054054021835327,0.4189189374446869,0.4560810923576355
ky,5,0.44594596028327943,0.031183737087233165,0.48310813307762146,0.4054054021835327,0.412162184715271,0.46621623635292053,0.4628378450870514
ky,6,0.4628378450870514,0.025905795966495036,0.5033783912658691,0.4256756901741028,0.4560810923576355,0.4763513505458832,0.45270270109176636
ky,7,0.4675675809383392,0.022470659625866207,0.48310813307762146,0.4358108341693878,0.44594594836235046,0.4932432472705841,0.4797297418117523
ky,8,0.477027040719986,0.010978423732880712,0.4932432472705841,0.45945948362350464,0.4729729890823364,0.4797297418117523,0.4797297418117523
ky,9,0.4756756961345673,0.024305553870949476,0.5067567825317383,0.4324324429035187,0.48310813307762146,0.4729729890823364,0.48310813307762146
ky,10,0.4648648798465729,0.028233215918498127,0.49662163853645325,0.412162184715271,0.4729729890823364,0.4763513505458832,0.46621623635292053
ky,11,0.45878379344940184,0.03877931066418823,0.4932432472705841,0.38513514399528503,0.4560810923576355,0.48310813307762146,0.4763513505458832
ky,12,0.4459459543228149,0.023696861521432647,0.4729729890823364,0.40202704071998596,0.4560810923576355,0.45270270109176636,0.44594594836235046
ky,13,0.4547297418117523,0.011624756945482715,0.4695945978164673,0.4358108341693878,0.4628378450870514,0.4560810923576355,0.4493243396282196
ky,14,0.44594596028327943,0.020270276069642868,0.48310813307762146,0.44594594836235046,0.42229729890823364,0.4425675868988037,0.4358108341693878
ky,15,0.4412162244319916,0.023561613148465763,0.4729729890823364,0.41554054617881775,0.412162184715271,0.45270270109176636,0.45270270109176636
ky,16,0.45000000596046447,0.028458704989877237,0.4560810923576355,0.4054054021835327,0.4560810923576355,0.4932432472705841,0.43918919563293457
ky,17,0.4472973108291626,0.02022517615075957,0.4729729890823364,0.4189189374446869,0.4324324429035187,0.46621623635292053,0.44594594836235046
ky,18,0.4344594717025757,0.02121665120602419,0.4493243396282196,0.40878379344940186,0.4324324429035187,0.46621623635292053,0.41554054617881775
