model,lang,layer,acc,z_score
qwen3,en,24,0.5695946097373963,19.327990685903377
qwen3,en,25,0.5810810923576355,19.88419165385694
qwen3,en,26,0.5885135293006897,20.244086737378556
qwen3,en,27,0.5722972989082337,19.458860890699462
qwen3,en,28,0.5635135293006897,19.033531282017623
qwen3,en,29,0.5567567706108093,18.70635403831394
qwen3,en,30,0.5587837934494019,18.80450698052992
qwen3,en,31,0.5418919086456299,17.98656444850853
qwen3,en,32,0.5479729890823364,18.28102385239428
qwen3,en,33,0.5385135412216187,17.822976403894515
qwen3,en,34,0.5439189434051513,18.08471796796233
qwen3,en,35,0.5378378391265869,17.790257409600933
qwen3,en,36,0.5337837934494019,17.593951525168983
gemma4,ru,0,0.460135143995285,29.170035791874124
gemma4,ru,1,0.4459459602832794,27.760434336099422
gemma4,ru,2,0.4378378450870513,26.95494677485785
gemma4,ru,3,0.441216230392456,27.29056698679696
gemma4,ru,4,0.4682432532310486,29.97552276098302
gemma4,ru,5,0.4756756901741027,30.71388616141022
gemma4,ru,6,0.5033783912658691,33.46596609641063
gemma4,ru,7,0.5006756842136383,33.19747004528588
gemma4,ru,8,0.4993243336677551,33.063222315789844
gemma4,ru,9,0.4662162363529205,29.774152054937982
gemma4,ru,10,0.464189201593399,29.57277957249491
gemma4,ru,11,0.4574324369430542,28.901539740749378
gemma4,ru,12,0.4554054081439972,28.700167850438987
gemma4,ru,13,0.4655405521392822,29.707027301990944
gemma4,ru,14,0.4331081211566925,26.48508001768808
gemma4,ru,15,0.4236486613750457,25.54534531908315
gemma4,ru,16,0.3966216325759887,22.86038895276442
gemma4,ru,17,0.3635135114192963,19.571316323381836
gemma4,ru,18,0.325000011920929,15.745255144545837
gemma4,ru,19,0.3243243336677551,15.678130983731474
gemma4,ru,20,0.3344594657421112,16.684989251018077
gemma4,ru,21,0.3479729831218719,18.027467730243778
gemma4,ru,22,0.3797297418117523,21.18229144586497
gemma4,ru,23,0.3885135293006897,22.054902575788223
gemma4,ru,24,0.333108115196228,16.55074152152204
gemma4,ru,25,0.3364864885807037,16.886360549195782
gemma4,ru,26,0.3547297358512878,18.69870637772395
gemma4,ru,27,0.360135143995285,19.23569788784077
gemma4,ru,28,0.3391891956329346,17.15485660032054
gemma4,ru,29,0.3452702760696411,17.758971679119032
gemma4,ru,30,0.3486486554145813,18.094591298925458
gemma4,ru,31,0.3925675809383392,22.45764576427632
gemma4,ru,32,0.4054054141044617,23.73299949055499
gemma4,ru,33,0.3966216266155243,22.860388360631745
gemma4,ru,34,0.3952702760696411,22.72614063113571
gemma4,ru,35,0.3878378510475159,21.987778414973864
gemma4,ru,36,0.3891891956329346,22.122025552337217
gemma4,ru,37,0.4067567646503448,23.86724722005102
gemma4,ru,38,0.402027028799057,23.39737927861588
gemma4,ru,39,0.4006756842136383,23.26313214125253
gemma4,ru,40,0.4128378450870514,24.47136229884952
gemma4,ru,41,0.3918918967247009,22.390521011329284
gemma4,ru,42,0.4027027189731598,23.464504623695603
qwen3,ru,0,0.4074324369430542,11.13416118618194
qwen3,ru,1,0.4493243336677551,13.07271235143243
qwen3,ru,2,0.4709459602832794,14.07325500400279
qwen3,ru,3,0.4864865005016326,14.792394854530189
qwen3,ru,4,0.4972973167896271,15.29266631872588
qwen3,ru,5,0.5162162363529206,16.16814096733681
qwen3,ru,6,0.5439189314842224,17.45008559448708
qwen3,ru,7,0.5371621608734131,17.137415446678006
qwen3,ru,8,0.5574324250221252,18.075423683537128
qwen3,ru,9,0.5675675868988037,18.544429181071756
qwen3,ru,10,0.5722972989082337,18.763297015761452
qwen3,ru,11,0.5925675749778747,19.701305804262596
qwen3,ru,12,0.5743243336677551,18.85709822559678
qwen3,ru,13,0.575000011920929,18.88836529554189
qwen3,ru,14,0.5905405521392822,19.607505146069297
qwen3,ru,15,0.5702702879905701,18.66949690921017
qwen3,ru,16,0.5743243336677551,18.85709822559678
qwen3,ru,17,0.5635135173797607,18.356826761401095
qwen3,ru,18,0.5527027189731598,17.856556124668447
qwen3,ru,19,0.5567567706108093,18.044157716876068
qwen3,ru,20,0.5466216266155243,17.575153046804484
qwen3,ru,21,0.5601351618766784,18.20049306660162
qwen3,ru,22,0.558108115196228,18.106691305124265
qwen3,ru,23,0.5479729890823364,17.637687462515714
qwen3,ru,24,0.562162184715271,18.294293724794926
qwen3,ru,25,0.558108115196228,18.106691305124265
qwen3,ru,26,0.5662162184715271,18.481894489539513
qwen3,ru,27,0.5682432532310486,18.575695699374844
qwen3,ru,28,0.562162172794342,18.294293173152898
qwen3,ru,29,0.550000011920929,17.73148812070902
qwen3,ru,30,0.5472973108291626,17.606420392570605
qwen3,ru,31,0.5486486673355102,17.668954532460823
qwen3,ru,32,0.5216216385364533,16.41827642361364
qwen3,ru,33,0.5229729831218719,16.48081001186183
qwen3,ru,34,0.5236486613750457,16.512077081806943
qwen3,ru,35,0.5168919026851654,16.19940748563989
qwen3,ru,36,0.5263513684272766,16.63714508576637
gemma4,ky,0,0.4452702820301056,27.488510203121
gemma4,ky,1,0.4391891896724701,26.888425203188827
gemma4,ky,2,0.4162162244319916,24.621442392532295
gemma4,ky,3,0.4087837934494018,23.88800667352317
gemma4,ky,4,0.4594594717025757,28.888705987510075
